id,corridor,event_cause,priority,target,hour,day_of_week,month,is_weekend,corridor_encoded,event_cause_encoded,requires_road_closure,events_in_corridor_last_2hrs,latitude,longitude,created_date,closed_datetime
FKID005790,Non-corridor,vehicle_breakdown,Low,0,19,4,11,0,11,14,0,1,12.9666049,77.6242042,2023-11-10 19:33:23.444294+00,
FKID004414,Non-corridor,accident,Low,0,19,4,11,0,11,2,0,2,13.2005963,77.6609968,2023-11-10 19:40:52.53479+00,
FKID005792,Non-corridor,pot_holes,Low,0,20,4,11,0,11,7,0,3,13.0259104,77.5347535,2023-11-10 20:15:20.844702+00,2023-11-12 22:50:23.241758+00
FKID004420,Non-corridor,water_logging,Low,0,21,4,11,0,11,16,0,1,12.984023,77.6037669,2023-11-10 21:53:52.616118+00,
FKID005807,Non-corridor,vehicle_breakdown,Low,0,1,5,11,1,11,14,0,0,13.0087048,77.5691774,2023-11-11 01:16:30.903616+00,2023-11-11 02:22:13.271874+00
FKID004129,Non-corridor,vehicle_breakdown,Low,0,2,5,11,1,11,14,0,1,13.2288007,77.6897352,2023-11-11 02:15:26.942215+00,
FKID005811,Non-corridor,others,Low,0,4,5,11,1,11,6,0,0,12.8461033,77.6589267,2023-11-11 04:33:26.944074+00,2023-11-11 05:02:29.170566+00
FKID005202,Non-corridor,vehicle_breakdown,Low,0,4,5,11,1,11,14,1,1,13.0198716,77.7091574,2023-11-11 04:49:56.607811+00,2023-11-11 07:28:04.75987+00
FKID005813,Non-corridor,vehicle_breakdown,Low,0,4,5,11,1,11,14,0,2,12.9734483,77.5813283,2023-11-11 04:56:02.461891+00,2023-11-11 05:42:22.962176+00
FKID000002,Non-corridor,others,Low,0,6,5,11,1,11,6,0,3,12.955622,77.5857083,2023-11-11 06:20:00.989398+00,2024-01-30 04:56:03.281509+00
FKID004431,Non-corridor,water_logging,Low,0,8,5,11,1,11,16,1,0,12.9854293,77.4793796,2023-11-11 08:22:38.193043+00,
FKID005821,Non-corridor,vehicle_breakdown,Low,0,18,5,11,1,11,14,0,0,12.9761908,77.5872317,2023-11-11 18:04:52.071485+00,
FKID005822,Non-corridor,vehicle_breakdown,Low,0,18,5,11,1,11,14,0,1,12.9761698,77.5872674,2023-11-11 18:06:23.095403+00,
FKID005825,Non-corridor,vehicle_breakdown,Low,0,20,5,11,1,11,14,0,0,13.2645011,77.7187932,2023-11-11 20:08:16.261687+00,2023-11-11 21:53:50.246988+00
FKID005827,Non-corridor,vehicle_breakdown,Low,0,21,5,11,1,11,14,0,1,12.982525,77.5696167,2023-11-11 21:05:09.53909+00,2023-11-11 21:45:38.260979+00
FKID005829,Non-corridor,vehicle_breakdown,Low,0,21,5,11,1,11,14,0,2,12.9486171,77.6026398,2023-11-11 21:39:35.00948+00,
FKID005830,Non-corridor,vehicle_breakdown,Low,0,21,5,11,1,11,14,0,3,12.9486278,77.6027062,2023-11-11 21:43:46.86002+00,
FKID004444,Non-corridor,road_conditions,Low,0,21,5,11,1,11,11,0,4,12.9399903,77.7473462,2023-11-11 21:48:56.218788+00,2024-01-22 02:57:05.868134+00
FKID005832,Non-corridor,vehicle_breakdown,Low,0,21,5,11,1,11,14,0,5,12.936279,77.6072722,2023-11-11 21:50:03.30472+00,
FKID005834,Non-corridor,vehicle_breakdown,Low,0,23,5,11,1,11,14,0,0,12.9662562,77.6248471,2023-11-11 23:56:19.71589+00,
FKID005835,Non-corridor,vehicle_breakdown,Low,0,0,6,11,1,11,14,0,1,13.00778,77.6916494,2023-11-12 00:10:11.517151+00,
FKID005839,Non-corridor,vehicle_breakdown,Low,0,2,6,11,1,11,14,0,1,12.9740568,77.5817343,2023-11-12 02:03:42.137147+00,2023-11-12 02:54:29.431931+00
FKID005204,Non-corridor,vehicle_breakdown,Low,0,2,6,11,1,11,14,0,1,12.9874952,77.4752769,2023-11-12 03:02:47.936969+00,2023-11-12 03:08:01.57346+00
FKID005842,Non-corridor,vehicle_breakdown,Low,0,3,6,11,1,11,14,0,2,12.9738982,77.5694867,2023-11-12 03:38:38.452702+00,2023-11-12 04:47:01.921517+00
FKID004130,Non-corridor,vehicle_breakdown,Low,0,3,6,11,1,11,14,1,3,12.9285971,77.4694872,2023-11-12 03:51:16.889639+00,
FKID004460,Non-corridor,accident,Low,0,10,6,11,1,11,2,0,0,12.89030403,77.48279024,2023-11-12 10:01:32.221605+00,
FKID004462,Non-corridor,accident,Low,0,10,6,11,1,11,2,0,1,12.89030403,77.48279024,2023-11-12 10:01:38.360498+00,
FKID004464,Non-corridor,accident,Low,0,10,6,11,1,11,2,0,2,12.89030403,77.48279024,2023-11-12 10:01:45.630837+00,
FKID004467,Non-corridor,procession,Low,0,22,6,11,1,11,8,1,0,12.9821891,77.4802964,2023-11-12 22:18:19.998825+00,
FKID004470,Non-corridor,others,Low,0,23,6,11,1,11,6,0,1,13.0327765,77.5640775,2023-11-12 23:13:19.990094+00,
FKID004471,Non-corridor,procession,Low,0,23,6,11,1,11,8,0,2,13.1028087,77.6276652,2023-11-12 23:33:59.854396+00,
FKID004478,Non-corridor,congestion,Low,0,2,0,11,0,11,3,0,0,12.9388557,77.7473015,2023-11-13 02:47:20.480364+00,
FKID005855,Non-corridor,vehicle_breakdown,Low,0,3,0,11,0,11,14,0,1,12.9743459,77.5782828,2023-11-13 03:57:03.672498+00,2023-11-13 04:59:45.717517+00
FKID005860,Non-corridor,vehicle_breakdown,Low,0,8,0,11,0,11,14,0,0,12.9554841,77.5857974,2023-11-13 08:40:49.226769+00,2023-11-13 09:21:59.291664+00
FKID004491,Non-corridor,vehicle_breakdown,Low,0,19,0,11,0,11,14,0,0,12.9616506,77.7167073,2023-11-13 19:51:06.574107+00,
FKID004492,Non-corridor,pot_holes,Low,0,19,0,11,0,11,7,0,1,13.0056262,77.6382993,2023-11-13 20:00:38.67068+00,2024-01-31 01:01:34.594626+00
FKID005864,Non-corridor,vehicle_breakdown,Low,0,20,0,11,0,11,14,0,2,12.9841284,77.7508311,2023-11-13 20:49:40.157049+00,
FKID005865,Non-corridor,vehicle_breakdown,Low,0,20,0,11,0,11,14,0,3,12.9842379,77.7508293,2023-11-13 20:50:50.269402+00,2023-11-13 21:22:43.877594+00
FKID005868,Non-corridor,others,Low,0,21,0,11,0,11,6,0,4,12.9825394,77.5680497,2023-11-13 21:45:55.366191+00,2023-11-13 22:32:28.728128+00
FKID001592,Non-corridor,pot_holes,Low,0,21,0,11,0,11,7,0,5,12.916735,77.5950683,2023-11-13 21:45:30.05985+00,2024-03-16 04:13:38.110546+00
FKID005872,Non-corridor,vehicle_breakdown,Low,0,21,0,11,0,11,14,0,4,12.8553985,77.6651426,2023-11-13 22:02:59.327949+00,2023-11-13 22:59:58.554796+00
FKID005873,Non-corridor,congestion,Low,0,22,0,11,0,11,3,1,5,12.9171875,77.5868681,2023-11-13 22:09:02.652117+00,2023-11-13 22:50:57.753797+00
FKID005877,Non-corridor,construction,Low,0,23,0,11,0,11,4,1,2,12.9534302,77.5911341,2023-11-14 00:02:42.557361+00,
FKID005209,Non-corridor,vehicle_breakdown,Low,0,1,1,11,0,11,14,0,1,12.9097357,77.5365061,2023-11-14 01:31:36.51851+00,
FKID005880,Non-corridor,vehicle_breakdown,Low,0,1,1,11,0,11,14,0,2,12.9135866,77.5590245,2023-11-14 01:33:55.762097+00,2023-11-14 01:51:56.641443+00
FKID005210,Non-corridor,vehicle_breakdown,Low,0,2,1,11,0,11,14,0,2,12.9262483,77.5318283,2023-11-14 02:34:04.974433+00,2023-11-14 03:36:58.843077+00
FKID005886,Non-corridor,vehicle_breakdown,Low,0,3,1,11,0,11,14,0,1,12.9754056,77.5759283,2023-11-14 03:52:01.695575+00,2023-11-14 04:01:38.525156+00
FKID004507,Non-corridor,vehicle_breakdown,Low,0,3,1,11,0,11,14,1,2,13.0134371,77.6166422,2023-11-14 03:59:24.274714+00,
FKID004512,Non-corridor,accident,Low,0,5,1,11,0,11,2,0,2,13.0841133,77.5518104,2023-11-14 05:24:01.720211+00,2023-11-14 05:58:44.10391+00
FKID005893,Non-corridor,vehicle_breakdown,Low,0,7,1,11,0,11,14,0,1,13.019645,77.5318817,2023-11-14 07:11:54.463754+00,2023-11-14 07:24:36.064635+00
FKID004517,Non-corridor,vehicle_breakdown,Low,0,8,1,11,0,11,14,0,1,12.9957617,77.7580471,2023-11-14 08:34:04.655642+00,
FKID005896,Non-corridor,vehicle_breakdown,Low,0,8,1,11,0,11,14,0,2,12.9533262,77.5870701,2023-11-14 08:38:52.511403+00,
FKID005899,Non-corridor,vehicle_breakdown,Low,0,19,1,11,0,11,14,0,0,12.9928507,77.5741189,2023-11-14 19:25:11.623365+00,2023-11-14 20:17:34.067413+00
FKID005211,Non-corridor,others,Low,0,19,1,11,0,11,6,0,1,13.0570632,77.6484321,2023-11-14 19:30:24.904074+00,2023-11-15 04:18:40.095644+00
FKID004525,Non-corridor,water_logging,Low,0,20,1,11,0,11,16,1,2,13.0116593,77.6159324,2023-11-14 20:47:36.976934+00,2023-11-18 03:01:07.08225+00
FKID004531,Non-corridor,construction,Low,0,21,1,11,0,11,4,0,3,13.0572585,77.6484155,2023-11-14 21:04:19.53692+00,2024-01-01 08:33:47.87156+00
FKID005906,Non-corridor,pot_holes,Low,0,21,1,11,0,11,7,0,2,13.0210057,77.5285332,2023-11-14 21:56:05.871103+00,
FKID005907,Non-corridor,vehicle_breakdown,Low,0,22,1,11,0,11,14,0,3,12.9754681,77.5828411,2023-11-14 22:04:08.913991+00,
FKID005910,Non-corridor,vehicle_breakdown,Low,0,22,1,11,0,11,14,0,4,13.0046705,77.5936294,2023-11-14 22:27:45.463178+00,
FKID005911,Non-corridor,accident,Low,0,22,1,11,0,11,2,0,5,12.99274321,77.53414506,2023-11-14 23:05:22.280526+00,
FKID004535,Non-corridor,protest,Low,0,22,1,11,0,11,9,0,5,13.184446,77.6797199,2023-11-14 22:59:30.983441+00,2023-11-14 23:15:22.011742+00
FKID004542,Non-corridor,vehicle_breakdown,Low,0,0,2,11,0,11,14,0,3,13.0442323,77.5210725,2023-11-15 00:06:07.205117+00,
FKID005915,Non-corridor,vehicle_breakdown,Low,0,0,2,11,0,11,14,0,4,12.9170396,77.5851193,2023-11-15 00:27:08.824238+00,2023-11-15 01:27:25.933064+00
FKID004549,Non-corridor,vehicle_breakdown,Low,0,1,2,11,0,11,14,0,2,12.9742933,77.75069,2023-11-15 01:39:41.880222+00,
FKID005918,Non-corridor,congestion,Low,0,1,2,11,0,11,3,0,3,12.9682367,77.5702465,2023-11-15 01:52:42.602968+00,2023-11-15 02:47:14.550167+00
FKID004546,Non-corridor,vehicle_breakdown,Low,0,4,2,11,0,11,14,0,0,12.9486698,77.7179181,2023-11-15 04:05:10.162885+00,2023-11-15 04:17:33.655914+00
FKID005921,Non-corridor,vehicle_breakdown,Low,0,4,2,11,0,11,14,0,1,12.9372517,77.57974,2023-11-15 04:29:50.25718+00,
FKID005922,Non-corridor,vehicle_breakdown,Low,0,4,2,11,0,11,14,0,2,12.93726,77.5797733,2023-11-15 04:30:53.466283+00,
FKID004553,Non-corridor,vehicle_breakdown,Low,0,5,2,11,0,11,14,0,3,13.0504655,77.5529785,2023-11-15 05:32:53.237855+00,
FKID005923,Non-corridor,vehicle_breakdown,Low,0,5,2,11,0,11,14,0,4,12.9441559,77.5678438,2023-11-15 05:40:41.631329+00,
FKID005925,Non-corridor,pot_holes,Low,0,6,2,11,0,11,7,0,4,12.968955,77.5702333,2023-11-15 06:07:44.393871+00,2023-12-20 06:14:49.988+00
FKID004554,Non-corridor,vehicle_breakdown,Low,0,6,2,11,0,11,14,0,5,12.9928394,77.7112655,2023-11-15 06:17:56.180454+00,
FKID004556,Non-corridor,vehicle_breakdown,Low,0,8,2,11,0,11,14,0,0,13.0060289,77.5932338,2023-11-15 08:34:40.076798+00,
FKID005928,Non-corridor,accident,Low,0,9,2,11,0,11,2,0,1,13.1007263,77.5822978,2023-11-15 09:39:58.820369+00,2023-11-15 11:04:50.393905+00
FKID004560,Non-corridor,vehicle_breakdown,Low,0,18,2,11,0,11,14,0,0,12.9692572,77.7498516,2023-11-15 18:51:07.204961+00,
FKID005933,Non-corridor,vehicle_breakdown,Low,0,19,2,11,0,11,14,0,1,12.9162395,77.6153012,2023-11-15 19:33:48.200304+00,
FKID004564,Non-corridor,vehicle_breakdown,Low,0,20,2,11,0,11,14,1,2,13.0137217,77.7000983,2023-11-15 20:56:05.966332+00,
FKID005941,Non-corridor,vehicle_breakdown,Low,0,21,2,11,0,11,14,0,2,12.9745698,77.5696734,2023-11-15 21:21:51.072881+00,
FKID004569,Non-corridor,vehicle_breakdown,Low,0,21,2,11,0,11,14,0,2,12.8417072,77.6442073,2023-11-15 21:45:48.949026+00,2023-11-15 23:22:20.934289+00
FKID005944,Non-corridor,congestion,Low,0,22,2,11,0,11,3,1,3,12.9170427,77.5867444,2023-11-15 22:12:07.23331+00,
FKID005945,Non-corridor,vehicle_breakdown,Low,0,22,2,11,0,11,14,0,4,12.988039,77.577525,2023-11-15 22:39:08.374032+00,
FKID005946,Non-corridor,others,Low,0,23,2,11,0,11,6,0,4,13.2572903,77.7127351,2023-11-15 23:16:34.407254+00,2023-11-15 23:54:03.309554+00
FKID004572,Non-corridor,vehicle_breakdown,Low,0,0,3,11,0,11,14,0,3,13.0098453,77.6500858,2023-11-16 00:08:30.594026+00,
FKID004573,Non-corridor,vehicle_breakdown,Low,0,0,3,11,0,11,14,0,4,12.9210898,77.529154,2023-11-16 00:09:48.666114+00,
FKID004574,Non-corridor,others,Low,0,0,3,11,0,11,6,0,4,13.2294452,77.6903518,2023-11-16 00:17:54.865406+00,2023-11-19 18:01:53.30242+00
FKID004575,Non-corridor,vehicle_breakdown,Low,0,1,3,11,0,11,14,0,3,12.8964784,77.720464,2023-11-16 01:29:59.177433+00,
FKID005956,Non-corridor,procession,Low,0,3,3,11,0,11,8,0,1,12.936177,77.6070675,2023-11-16 03:02:21.124915+00,
FKID005957,Non-corridor,vehicle_breakdown,Low,0,3,3,11,0,11,14,0,2,12.9939792,77.6182493,2023-11-16 03:06:55.935463+00,
FKID005961,Non-corridor,vehicle_breakdown,Low,0,4,3,11,0,11,14,0,2,12.9448383,77.597145,2023-11-16 04:49:06.682173+00,2023-11-16 05:26:37.090469+00
FKID004592,Non-corridor,vehicle_breakdown,Low,0,6,3,11,0,11,14,0,1,13.0112933,77.52895,2023-11-16 06:07:30.307853+00,
FKID005964,Non-corridor,vehicle_breakdown,Low,0,6,3,11,0,11,14,0,1,13.0218824,77.5328228,2023-11-16 06:51:36.04372+00,2023-11-16 07:39:05.449336+00
FKID005966,Non-corridor,road_conditions,Low,0,7,3,11,0,11,11,0,2,12.961624,77.5945677,2023-11-16 07:10:47.168405+00,
FKID005967,Non-corridor,road_conditions,Low,0,7,3,11,0,11,11,0,3,12.9618712,77.5943371,2023-11-16 07:13:00.551676+00,2023-11-30 01:54:28.000569+00
FKID005968,Non-corridor,road_conditions,Low,0,7,3,11,0,11,11,0,4,12.9621012,77.5942952,2023-11-16 07:14:55.923376+00,2023-11-30 01:54:30.350174+00
FKID005969,Non-corridor,road_conditions,Low,0,7,3,11,0,11,11,0,5,12.9623069,77.5944512,2023-11-16 07:16:28.075996+00,2023-11-30 01:54:25.211442+00
FKID005218,Non-corridor,others,Low,0,8,3,11,0,11,6,0,5,12.9329109,77.4883586,2023-11-16 08:42:41.941566+00,2023-11-29 23:50:44.281438+00
FKID005975,Non-corridor,others,Low,0,20,3,11,0,11,6,0,0,12.9995155,77.5408225,2023-11-16 20:05:20.730348+00,2023-11-16 20:31:01.499329+00
FKID005976,Non-corridor,others,Low,0,20,3,11,0,11,6,0,1,12.9798234,77.5727234,2023-11-16 20:12:26.281128+00,
FKID005980,Non-corridor,vehicle_breakdown,Low,0,20,3,11,0,11,14,0,2,12.9429577,77.5973088,2023-11-16 20:48:07.117898+00,
FKID004596,Non-corridor,vehicle_breakdown,Low,0,20,3,11,0,11,14,0,3,13.03484,77.557342,2023-11-16 20:58:08.731002+00,2023-11-16 22:22:14.994693+00
FKID004601,Non-corridor,others,Low,0,21,3,11,0,11,6,0,4,13.0345827,77.5755233,2023-11-16 21:12:25.24408+00,2023-11-16 21:54:55.664012+00
FKID005990,Non-corridor,vehicle_breakdown,Low,0,23,3,11,0,11,14,0,1,12.9568493,77.596148,2023-11-16 23:04:34.753766+00,
FKID005992,Non-corridor,vehicle_breakdown,Low,0,23,3,11,0,11,14,0,1,13.242711,77.7045586,2023-11-16 23:39:54.057807+00,
FKID005993,Non-corridor,vehicle_breakdown,Low,0,0,4,11,0,11,14,0,2,12.9549589,77.5805541,2023-11-17 00:45:34.353867+00,2023-11-17 00:53:20.982045+00
FKID005996,Non-corridor,tree_fall,Low,0,1,4,11,0,11,13,1,2,12.9151157,77.6060964,2023-11-17 01:08:35.10845+00,2023-12-19 00:56:14.080571+00
FKID005999,Non-corridor,others,Low,0,3,4,11,0,11,6,0,0,12.9829842,77.560406,2023-11-17 03:43:06.012426+00,
FKID006000,Non-corridor,vehicle_breakdown,Low,0,3,4,11,0,11,14,0,1,12.983039,77.5603629,2023-11-17 03:50:49.373539+00,
FKID006001,Non-corridor,vehicle_breakdown,Low,0,3,4,11,0,11,14,0,2,12.9909938,77.5717929,2023-11-17 04:00:58.882773+00,2023-11-17 05:23:13.985382+00
FKID006002,Non-corridor,vehicle_breakdown,Low,0,4,4,11,0,11,14,0,3,12.9769123,77.5860171,2023-11-17 04:25:49.725245+00,2023-11-17 04:32:14.281396+00
FKID006003,Non-corridor,vehicle_breakdown,Low,0,5,4,11,0,11,14,0,4,13.0097232,77.6972405,2023-11-17 05:13:01.845838+00,2023-11-17 06:35:42.292811+00
FKID004609,Non-corridor,public_event,Low,0,7,4,11,0,11,10,0,0,12.9180359,77.5467202,2023-11-17 07:20:25.833267+00,
FKID006008,Non-corridor,vehicle_breakdown,Low,0,19,4,11,0,11,14,1,0,12.9452864,77.5962783,2023-11-17 19:56:01.401719+00,
FKID004612,Non-corridor,vehicle_breakdown,Low,0,20,4,11,0,11,14,0,1,12.9039683,77.5105667,2023-11-17 20:24:14.075127+00,2023-11-17 21:02:18.133554+00
FKID006010,Non-corridor,accident,Low,0,20,4,11,0,11,2,0,2,13.0098119,77.5710695,2023-11-17 20:44:16.395672+00,2023-11-17 22:00:56.662659+00
FKID004613,Non-corridor,vehicle_breakdown,Low,0,21,4,11,0,11,14,0,3,13.0796571,77.5020024,2023-11-17 21:03:50.137929+00,2023-11-17 21:35:23.05944+00
FKID006015,Non-corridor,pot_holes,Low,0,23,4,11,0,11,7,0,0,12.9939686,77.5951097,2023-11-17 23:17:49.537455+00,2024-01-06 20:09:05.488764+00
FKID006018,Non-corridor,vehicle_breakdown,Low,0,0,5,11,1,11,14,0,1,12.8538664,77.666348,2023-11-18 00:36:04.034176+00,
FKID004620,Non-corridor,vehicle_breakdown,Low,0,1,5,11,1,11,14,0,2,12.999518,77.6743497,2023-11-18 01:06:55.683752+00,2023-11-18 01:19:11.686132+00
FKID006021,Non-corridor,vehicle_breakdown,Low,0,1,5,11,1,11,14,0,2,12.982262,77.5642474,2023-11-18 01:27:33.519888+00,
FKID006020,Non-corridor,others,Low,0,1,5,11,1,11,6,0,3,13.0465361,77.5041775,2023-11-18 01:25:34.678141+00,
FKID006022,Non-corridor,vehicle_breakdown,Low,0,1,5,11,1,11,14,0,4,12.9822405,77.5642784,2023-11-18 01:31:08.609354+00,
FKID006025,Non-corridor,vehicle_breakdown,Low,0,1,5,11,1,11,14,0,5,12.9814473,77.5645179,2023-11-18 01:57:32.984806+00,
FKID006026,Non-corridor,vehicle_breakdown,Low,0,2,5,11,1,11,14,0,5,13.0146648,77.5733395,2023-11-18 02:53:52.54865+00,2023-11-18 03:29:58.473273+00
FKID006032,Non-corridor,vehicle_breakdown,Low,0,7,5,11,1,11,14,0,0,12.9821285,77.6236031,2023-11-18 07:07:01.913295+00,
FKID004131,Non-corridor,construction,Low,0,7,5,11,1,11,4,0,1,12.8011603,77.7122165,2023-11-18 07:36:49.842589+00,
FKID004630,Non-corridor,construction,Low,0,7,5,11,1,11,4,0,2,12.8010411,77.7121231,2023-11-18 07:39:31.099691+00,
FKID004631,Non-corridor,construction,Low,0,7,5,11,1,11,4,0,3,12.8015592,77.7121308,2023-11-18 07:40:34.989293+00,
FKID006035,Non-corridor,accident,Low,0,7,5,11,1,11,2,0,4,12.9625956,77.6191002,2023-11-18 07:45:29.599228+00,
FKID004634,Non-corridor,accident,Low,0,9,5,11,1,11,2,0,4,13.09591716,77.56173962,2023-11-18 09:32:28.048016+00,2023-11-18 09:51:12.006535+00
FKID006036,Non-corridor,vehicle_breakdown,Low,0,9,5,11,1,11,14,0,2,13.0145617,77.5730783,2023-11-18 09:41:23.779382+00,2023-11-18 09:53:56.690454+00
FKID004635,Non-corridor,accident,Low,0,18,5,11,1,11,2,0,0,13.0489064,77.4968648,2023-11-18 18:43:12.388821+00,
FKID004650,Non-corridor,vehicle_breakdown,Low,0,20,5,11,1,11,14,0,1,13.0600562,77.4632125,2023-11-18 20:41:05.008175+00,
FKID004645,Non-corridor,accident,Low,0,20,5,11,1,11,2,0,1,12.87567087,77.54369931,2023-11-18 21:02:46.742638+00,
FKID004132,Non-corridor,vehicle_breakdown,Low,0,21,5,11,1,11,14,0,2,12.8193862,77.6890097,2023-11-18 21:47:43.431176+00,2023-11-18 22:22:49.946941+00
FKID006047,Non-corridor,vehicle_breakdown,Low,0,23,5,11,1,11,14,0,0,13.102133,77.5865455,2023-11-18 23:46:16.864735+00,2023-11-19 00:22:17.568078+00
FKID006050,Non-corridor,vehicle_breakdown,Low,0,0,6,11,1,11,14,0,1,13.0148748,77.5725866,2023-11-19 00:13:59.305467+00,2023-11-19 00:25:44.502438+00
FKID006051,Non-corridor,vehicle_breakdown,Low,0,0,6,11,1,11,14,0,2,13.1022979,77.58612,2023-11-19 00:21:57.981825+00,2023-11-19 00:23:56.642449+00
FKID006057,Non-corridor,water_logging,Low,0,2,6,11,1,11,16,0,2,12.9770365,77.5837982,2023-11-19 02:13:08.881594+00,
FKID005225,Non-corridor,vehicle_breakdown,Low,0,3,6,11,1,11,14,0,1,13.0465699,77.5000576,2023-11-19 03:26:08.903963+00,
FKID004832,Non-corridor,water_logging,Low,0,3,6,11,1,11,16,0,2,13.0003726,77.7576414,2023-11-19 03:37:06.146377+00,
FKID006063,Non-corridor,vehicle_breakdown,Low,0,5,6,11,1,11,14,1,0,12.9169267,77.5839617,2023-11-19 06:00:23.51271+00,
FKID004133,Non-corridor,others,Low,0,6,6,11,1,11,6,0,1,13.0511382,77.4896909,2023-11-19 06:59:18.866548+00,
FKID004676,Non-corridor,vehicle_breakdown,Low,0,12,6,11,1,11,14,0,0,13.0477372,77.5008666,2023-11-19 12:12:25.191499+00,
FKID004678,Non-corridor,vehicle_breakdown,Low,0,12,6,11,1,11,14,0,1,13.0473723,77.5006138,2023-11-19 12:19:39.363028+00,
FKID006067,Non-corridor,vehicle_breakdown,Low,0,18,6,11,1,11,14,0,0,12.9879048,77.7338598,2023-11-19 18:47:45.408235+00,2023-11-19 19:11:55.480619+00
FKID004682,Non-corridor,others,Low,0,19,6,11,1,11,6,0,1,12.945192,77.4953199,2023-11-19 19:42:31.358081+00,2023-11-20 02:12:39.252965+00
FKID006069,Non-corridor,vehicle_breakdown,Low,0,19,6,11,1,11,14,0,2,12.955154,77.5856293,2023-11-19 19:53:45.892584+00,2023-11-19 20:44:21.63774+00
FKID006070,Non-corridor,vehicle_breakdown,Low,0,20,6,11,1,11,14,0,3,12.957596,77.5187665,2023-11-19 20:05:16.589717+00,
FKID004689,Non-corridor,vehicle_breakdown,Low,0,21,6,11,1,11,14,0,2,13.0472913,77.5007091,2023-11-19 21:54:56.45772+00,2023-11-19 23:34:29.477964+00
FKID006074,Non-corridor,construction,Low,0,22,6,11,1,11,4,0,1,12.9164396,77.6113131,2023-11-19 22:53:11.574178+00,
FKID004695,Non-corridor,congestion,Low,0,23,6,11,1,11,3,0,2,13.0010805,77.5947981,2023-11-19 23:10:37.169432+00,
FKID004698,Non-corridor,vehicle_breakdown,Low,0,23,6,11,1,11,14,0,3,13.0054924,77.685631,2023-11-19 23:19:09.828541+00,2023-11-19 23:58:41.759207+00
FKID004699,Non-corridor,vehicle_breakdown,Low,0,23,6,11,1,11,14,0,4,12.9407935,77.7470493,2023-11-19 23:57:03.899061+00,2023-11-20 00:31:30.643547+00
FKID005226,Non-corridor,others,Low,0,1,0,11,0,11,6,0,1,12.9462933,77.5228133,2023-11-20 01:21:38.791541+00,2023-11-20 20:24:20.240701+00
FKID005227,Non-corridor,vehicle_breakdown,Low,0,1,0,11,0,11,14,0,2,13.0480041,77.5548906,2023-11-20 01:49:47.332504+00,2023-11-20 03:55:05.602946+00
